Ready Processes,Processes in CPU,Blocked processes,Completed processes,Accounted For, Number of CPUs,Exiting at simulation time
255, 2, 0, 63,320, 2, 10000
234, 2, 0, 68,304, 2, 10000
219, 2, 0, 51,272, 2, 10000
250, 2, 0, 68,320, 2, 10000
246, 2, 0, 53,301, 2, 10000
213, 2, 0, 61,276, 2, 10000
219, 2, 0, 58,279, 2, 10000
199, 2, 0, 55,256, 2, 10000
226, 2, 0, 68,296, 2, 10000
224, 2, 0, 78,304, 2, 10000
209, 2, 0, 51,262, 2, 10000
234, 2, 0, 76,312, 2, 10000
224, 2, 0, 64,290, 2, 10000
229, 2, 0, 71,302, 2, 10000
234, 2, 0, 75,311, 2, 10000
231, 2, 0, 74,307, 2, 10000
190, 2, 0, 55,247, 2, 10000
215, 2, 0, 67,284, 2, 10000
228, 2, 0, 51,281, 2, 10000
206, 2, 0, 59,267, 2, 10000
220, 2, 0, 50,272, 2, 10000
208, 2, 0, 55,265, 2, 10000
211, 2, 0, 61,274, 2, 10000
216, 2, 0, 47,265, 2, 10000
203, 2, 0, 75,280, 2, 10000
195, 2, 0, 58,255, 2, 10000
202, 2, 0, 62,266, 2, 10000
226, 2, 0, 50,278, 2, 10000
231, 2, 0, 49,282, 2, 10000
245, 2, 0, 47,294, 2, 10000
201, 2, 0, 64,267, 2, 10000
228, 2, 0, 60,290, 2, 10000
189, 2, 0, 60,251, 2, 10000
231, 2, 0, 47,280, 2, 10000
206, 2, 0, 60,268, 2, 10000
204, 2, 0, 46,252, 2, 10000
206, 2, 0, 53,261, 2, 10000
206, 2, 0, 49,257, 2, 10000
208, 2, 0, 63,273, 2, 10000
225, 2, 0, 42,269, 2, 10000
216, 2, 0, 56,274, 2, 10000
235, 2, 0, 67,304, 2, 10000
212, 2, 0, 55,269, 2, 10000
199, 2, 0, 55,256, 2, 10000
207, 2, 0, 55,264, 2, 10000
215, 2, 0, 56,273, 2, 10000
212, 2, 0, 50,264, 2, 10000
218, 2, 0, 47,267, 2, 10000
181, 2, 0, 55,238, 2, 10000
204, 2, 0, 50,256, 2, 10000
199, 2, 0, 67,268, 2, 10000
183, 2, 0, 51,236, 2, 10000
204, 2, 0, 59,265, 2, 10000
187, 2, 0, 46,235, 2, 10000
207, 2, 0, 49,258, 2, 10000
219, 2, 0, 71,292, 2, 10000
197, 2, 0, 51,250, 2, 10000
205, 2, 0, 50,257, 2, 10000
203, 2, 0, 54,259, 2, 10000
198, 2, 0, 63,263, 2, 10000
203, 2, 0, 49,254, 2, 10000
203, 2, 0, 61,266, 2, 10000
178, 2, 0, 54,234, 2, 10000
205, 2, 0, 35,242, 2, 10000
180, 2, 0, 59,241, 2, 10000
200, 2, 0, 51,253, 2, 10000
201, 2, 0, 62,265, 2, 10000
185, 2, 0, 57,244, 2, 10000
210, 2, 0, 66,278, 2, 10000
195, 2, 0, 50,247, 2, 10000
208, 2, 0, 52,262, 2, 10000
183, 2, 0, 52,237, 2, 10000
203, 2, 0, 49,254, 2, 10000
175, 2, 0, 51,228, 2, 10000
205, 2, 0, 53,260, 2, 10000
202, 2, 0, 51,255, 2, 10000
193, 2, 0, 55,250, 2, 10000
180, 2, 0, 45,227, 2, 10000
206, 2, 0, 62,270, 2, 10000
188, 2, 0, 60,250, 2, 10000
